python,sql,autonomie,rigueur,management,machine learning,power bi,intelligence artificielle,r,aws,agile,big data,azure,data engineer,git,excel,ci/cd,gcp,spark,devops
0.0,638.0,359.0,271.0,301.0,472.0,266.0,241.0,304.0,295.0,178.0,175.0,254.0,208.0,247.0,88.0,242.0,224.0,213.0,170.0
638.0,0.0,326.0,281.0,276.0,253.0,324.0,126.0,181.0,237.0,165.0,181.0,206.0,202.0,209.0,159.0,175.0,174.0,188.0,130.0
359.0,326.0,0.0,446.0,186.0,196.0,175.0,160.0,115.0,141.0,149.0,96.0,132.0,74.0,117.0,126.0,140.0,88.0,108.0,83.0
271.0,281.0,446.0,0.0,166.0,178.0,140.0,140.0,82.0,89.0,91.0,42.0,73.0,51.0,92.0,126.0,60.0,81.0,34.0,66.0
301.0,276.0,186.0,166.0,0.0,202.0,143.0,106.0,132.0,161.0,92.0,113.0,112.0,88.0,110.0,72.0,96.0,84.0,88.0,91.0
472.0,253.0,196.0,178.0,202.0,0.0,60.0,174.0,199.0,145.0,102.0,132.0,85.0,68.0,178.0,15.0,79.0,82.0,80.0,93.0
266.0,324.0,175.0,140.0,143.0,60.0,0.0,30.0,91.0,94.0,85.0,98.0,119.0,91.0,58.0,115.0,83.0,48.0,85.0,23.0
241.0,126.0,160.0,140.0,106.0,174.0,30.0,0.0,121.0,100.0,68.0,93.0,54.0,9.0,62.0,9.0,70.0,49.0,49.0,53.0
304.0,181.0,115.0,82.0,132.0,199.0,91.0,121.0,0.0,76.0,47.0,118.0,73.0,50.0,57.0,36.0,69.0,52.0,84.0,34.0
295.0,237.0,141.0,89.0,161.0,145.0,94.0,100.0,76.0,0.0,50.0,162.0,236.0,140.0,169.0,9.0,152.0,198.0,156.0,127.0
178.0,165.0,149.0,91.0,92.0,102.0,85.0,68.0,47.0,50.0,0.0,70.0,59.0,59.0,53.0,15.0,51.0,37.0,65.0,58.0
175.0,181.0,96.0,42.0,113.0,132.0,98.0,93.0,118.0,162.0,70.0,0.0,142.0,96.0,80.0,7.0,121.0,123.0,183.0,76.0
254.0,206.0,132.0,73.0,112.0,85.0,119.0,54.0,73.0,236.0,59.0,142.0,0.0,92.0,86.0,12.0,161.0,187.0,135.0,105.0
208.0,202.0,74.0,51.0,88.0,68.0,91.0,9.0,50.0,140.0,59.0,96.0,92.0,0.0,98.0,16.0,70.0,94.0,135.0,77.0
247.0,209.0,117.0,92.0,110.0,178.0,58.0,62.0,57.0,169.0,53.0,80.0,86.0,98.0,0.0,1.0,95.0,90.0,100.0,109.0
88.0,159.0,126.0,126.0,72.0,15.0,115.0,9.0,36.0,9.0,15.0,7.0,12.0,16.0,1.0,0.0,0.0,7.0,2.0,3.0
242.0,175.0,140.0,60.0,96.0,79.0,83.0,70.0,69.0,152.0,51.0,121.0,161.0,70.0,95.0,0.0,0.0,115.0,129.0,105.0
224.0,174.0,88.0,81.0,84.0,82.0,48.0,49.0,52.0,198.0,37.0,123.0,187.0,94.0,90.0,7.0,115.0,0.0,120.0,93.0
213.0,188.0,108.0,34.0,88.0,80.0,85.0,49.0,84.0,156.0,65.0,183.0,135.0,135.0,100.0,2.0,129.0,120.0,0.0,79.0
170.0,130.0,83.0,66.0,91.0,93.0,23.0,53.0,34.0,127.0,58.0,76.0,105.0,77.0,109.0,3.0,105.0,93.0,79.0,0.0
