terme,tfidf_score
data,0.2075629358156333
données,0.16288006328234841
client,0.10043625431875902
technique,0.09436780939339295
équipe,0.0888276110861812
solution,0.08653294969520775
projets,0.08092255989354756
plus,0.07991982342711809
développement,0.07484719810219478
service,0.07235965456523755
expérience,0.07041911580931888
équipes,0.0669728202292874
analyse,0.06466174752707521
outils,0.06384082554924402
gestion,0.06256538150772309
groupe,0.06050999776190809
compétences,0.0595623946645792
stage,0.058928786248144405
métiers,0.05728225474755483
environnement,0.057032070856578874
projet,0.05687321678951046
performance,0.05465949002463075
mise,0.054622764651724595
sein,0.05425173052467069
qualité,0.05148740285384875
learning,0.05051416225689829
modèles,0.050467549433560716
participer,0.05016425058198635
business,0.04976827555347164
place,0.047246057217685225
assurer,0.046927563342602764
information,0.04691031797353109
cadre,0.04684321821606482
besoins,0.04666848203374218
science,0.04646349169843936
france,0.04520400183084016
charge,0.044262041549056094
transformation,0.04372354005532479
cloud,0.04278753087275075
processus,0.042374168250780074
suivi,0.0418669555653543
base,0.04144672022917871
développer,0.04138490773447079
bac,0.041235583349288174
technology,0.04083522376241899
mission,0.04072012583520485
expertise,0.04055924560304182
capacité,0.04017686666700691
support,0.03989008155310583
connaissance,0.03951388876088989
architecture,0.03948652399789836
an,0.03934915870537701
machine,0.03924887874975544
sql,0.03904352901903017
systèmes,0.03903626237025695
etc,0.038903694008063254
rejoindre,0.03889942295311972
production,0.038710537761290506
faire,0.038554064441137105
esprit,0.038224402048134945
interne,0.0381321983783862
python,0.03795067123450116
innovation,0.037937941810576935
direction,0.03793125899985039
travailler,0.03792522752152354
métier,0.03770335689956345
tant,0.03769706408041967
intégration,0.036885359581571624
leurs,0.036764633721544614
maîtrise,0.036665520700658254
collaborateurs,0.03639728800256075
test,0.03638714670985759
contribuer,0.03622820434623865
accompagner,0.03594260429081351
power,0.03560637268953843
intelligence,0.03550195658500344
sen,0.035042644468397985
prise,0.03492708565857377
afin,0.034922816061226845
chez,0.03480510796585241
niveau,0.03469383572883181
ensemble,0.03446900570907073
sécurité,0.034407502655703255
analysis,0.033280329788962414
mettre,0.03321488648787914
optimisation,0.03304868194678767
tout,0.032819403379470896
forte,0.032454037693784556
communication,0.0324113485066587
ingénieur,0.03225872106062583
temp,0.032201181839436176
connaissances,0.03208140440224382
engineer,0.03200458336514453
ainsi,0.03184747101813232
expert,0.03173741999058369
paris,0.03148263289547687
jour,0.031206422572328037
management,0.031092645059544666
pratiques,0.030502333988749384
collaboration,0.030029101481915156
