competence,count,cluster,umap_x,umap_y
python,1145,7,-12.779321,8.001893
sql,961,2,-9.919649,5.4387946
autonomie,892,6,-13.682008,5.9052067
rigueur,746,6,-14.016571,5.7049384
management,687,0,-11.208477,7.303933
machine learning,636,8,-12.00875,6.6017537
power bi,526,1,-11.8270235,5.517418
intelligence artificielle,452,7,-11.942859,6.452538
r,432,0,-12.283308,5.027344
aws,411,6,-14.66578,5.490126
agile,400,7,-11.472379,6.775332
big data,359,9,-10.586859,5.8655815
azure,357,6,-14.447659,4.8593683
data engineer,321,9,-10.364331,6.1354575
git,309,6,-14.658393,6.683072
excel,308,7,-10.047407,5.3869786
ci/cd,306,0,-12.845043,5.036354
gcp,300,0,-12.467963,4.7773576
spark,293,5,-15.018547,6.5835614
devops,250,6,-13.933253,5.3269997
tableau,243,6,-13.136318,6.174392
java,241,6,-14.706254,5.339183
pytorch,237,6,-13.450793,5.209072
tensorflow,231,7,-13.357788,7.0021787
docker,219,6,-14.412897,6.0859995
deep learning,218,8,-12.139412,6.7432413
scikit-learn,197,7,-12.04744,6.897661
kubernetes,178,6,-12.991396,5.793568
snowflake,171,4,-13.169407,5.683486
api,170,5,-15.114491,6.705503
data management,170,9,-10.46527,5.989607
talend,166,6,-12.863415,7.6352215
scala,164,7,-14.693878,5.122696
nlp,140,0,-13.331301,4.3001857
qlik,137,6,-13.978743,4.451797
hadoop,136,6,-14.110599,5.108634
airflow,135,6,-14.282825,7.1616845
mlops,134,6,-13.948116,6.471156
pandas,130,6,-15.1912565,5.2669744
linux,124,0,-13.084063,4.8316154
datalake,122,9,-10.224168,5.748584
postgresql,112,2,-9.791257,5.2518497
llm,111,0,-13.02052,4.8107953
kafka,104,6,-14.257597,4.528966
apis,100,6,-13.77364,5.989975
databricks,98,9,-10.115541,6.123918
llms,95,0,-12.633622,4.487289
numpy,91,6,-13.548425,4.5522156
bigquery,91,6,-13.806082,6.604489
anglais technique,91,6,-12.354149,7.493809
e-commerce,91,3,-10.870491,7.739292
rag,90,6,-14.483505,5.378383
scrum,86,6,-14.160471,5.438027
dbt,78,0,-12.126094,4.3881445
matplotlib,78,7,-12.624505,6.1433997
mongodb,69,6,-14.265888,5.51144
mlflow,66,7,-13.803611,7.082267
langchain,59,6,-15.086839,5.4076343
transformers,58,7,-12.096404,5.684118
développement commercial,56,3,-10.994657,7.7198887
rest,54,5,-15.218153,6.28605
looker,53,6,-13.773175,5.9407034
keras,51,6,-14.660264,6.345843
mdm,51,0,-12.87796,4.606562
power query,51,1,-11.237824,5.749171
mysql,47,2,-9.758146,5.248905
rigueur scientifique,47,6,-13.39789,6.3803015
esprit de synthèse,46,7,-12.439465,7.256956
streamlit,43,7,-13.512404,6.891386
qlik sense,43,6,-14.107871,6.3334284
large language models,41,7,-12.766466,7.509896
maîtrise de l'anglais ,38,6,-12.7940035,7.390642
seaborn,34,6,-14.507219,5.883219
sig,34,6,-13.587425,5.5540814
secteur aéronautique,32,6,-14.401351,7.2560763
gpt,29,0,-12.136342,4.6030016
plotly,29,7,-12.9229765,6.140643
benchmarks,27,7,-11.550804,5.0762725
business object,22,3,-10.717709,7.6340365
coder,20,7,-13.122781,7.78058
cassandra,20,6,-14.823896,4.672057
redis,18,6,-13.716872,4.982434
product management,16,3,-10.865309,7.5635767
api rest,14,5,-15.296234,6.5122385
tableau software,13,7,-11.119633,6.5228763
kubeflow,12,6,-14.293337,6.9316287
analyse statistique,11,7,-10.9108715,5.302917
cognos,11,6,-13.847959,5.5499244
spacy,10,6,-14.313847,6.493902
bert,10,6,-14.93475,6.0455737
java script,10,7,-13.319536,7.867941
google analytics 4,8,7,-10.578914,5.6946206
conduite de projets ,7,7,-11.461904,7.525494
langgraph,7,7,-12.7027645,6.532982
programmation en python,6,7,-12.622587,8.008585
nltk,6,0,-13.134352,4.157142
rédaction de documentation technique,5,7,-11.955499,7.5979834
graphql,5,2,-9.904169,5.646873
gérer des bases de données,5,7,-10.170157,5.7278543
llamaindex,5,6,-13.417214,5.022438
b to b,5,6,-14.233972,6.040088
analyse de risque,5,7,-11.06707,5.075055
application web,4,7,-10.96818,6.824366
rqth,4,0,-12.504365,4.6376104
développement back-end,4,7,-11.374349,7.652013
biologie,4,6,-14.301634,5.1139855
animer des sessions de formation,4,7,-11.841284,7.0009775
bonne organisation,4,6,-11.284412,7.1951785
julia,4,6,-14.870602,4.769221
traiter des données,3,7,-10.736497,5.6145325
xgboost,3,6,-13.204456,5.6042757
cobol,3,6,-14.490185,5.804464
ciel,3,6,-15.068049,5.9429502
capacité à vulgariser des sujets complexes,3,7,-12.333299,7.336372
