title,profil_score,profil_second,profil_second_score,score_title,score_description,score_competences,region,source_name
Data scientist (H/F),0.0,,0.0,0.0,0.0,0.0,,France Travail
DATA SCIENTIST  RESPONSABLE DE L'ENQUETE SUR L'INSERTION PROFESSIONNELLE DES SORTANTS DU SUPÉRIEUR (H/F),0.0,,0.0,0.0,0.0,0.0,,France Travail
Alternance - Data Scientist Alternance / Apprentissage (H/F),0.0,,0.0,0.0,0.0,0.0,,France Travail
Data scientist (H/F),0.0,,0.0,0.0,0.0,0.0,,France Travail
DSR 75 SÉCURITÉ ROUTIÈRE ATR BSI DATA SCIENTIST CONFIRMÉ (SIC) (H/F),0.0,,0.0,0.0,0.0,0.0,,France Travail
Data Scientist - Confirmé (H/F),0.0,,0.0,0.0,0.0,0.0,,France Travail
Data Scientist - Expertise OpenMetaData (H/F),0.0,,0.0,0.0,0.0,0.0,,France Travail
Data Scientist - Expertise OpenMetaData (H/F),0.0,,0.0,0.0,0.0,0.0,,France Travail
Lead Data Scientist H/F (CDI),0.0,,0.0,0.0,0.0,0.0,,France Travail
DATA SCIENTIST (H/F),0.0,,0.0,0.0,0.0,0.0,,France Travail
Lead Data Scientist H/F,0.0,,0.0,0.0,0.0,0.0,,France Travail
Data Scientist Expérimenté H/F,0.0,,0.0,0.0,0.0,0.0,,France Travail
Data Scientist Expérimenté H/F,0.0,,0.0,0.0,0.0,0.0,,France Travail
"Consultant Senior ou Manager Data Engineering - secteur Financier, H/F",0.0,,0.0,0.0,0.0,0.0,,France Travail
Consultant Senior & Manager en Data consulting - secteur financier (H/F),0.0,,0.0,0.0,0.0,0.0,,France Travail
"Consultant Expérimenté & Manager en « Data Analyst & BI » - Secteur Financier, H/F",0.0,,0.0,0.0,0.0,0.0,,France Travail
Responsable de pôle Technique Data - F/H,0.0,,0.0,0.0,0.0,0.0,,France Travail
"Consultant Expérimenté & Manager en Data Engineering - Secteur Financier, H/F",0.0,,0.0,0.0,0.0,0.0,,France Travail
Data Analyst Expérimenté H/F,0.0,,0.0,0.0,0.0,0.0,,France Travail
"Consultant Expérimenté et Manager en Data Science - Secteur Financier, HF (H/F)",0.0,,0.0,0.0,0.0,0.0,,France Travail
ANALYSTES DATA SCIENCE ET STATISTIQUES - H/F,0.0,,0.0,0.0,0.0,0.0,,France Travail
"Consultant Expérimenté & Manager en Data Engineering - Secteur Financier, H/F",0.0,,0.0,0.0,0.0,0.0,,France Travail
Consultant Expérimenté & Manager en « Data & Intelligent Process Automation »-Secteur Financier (H/F),0.0,,0.0,0.0,0.0,0.0,,France Travail
Consultant Expérimenté & Manager en « Data & Intelligent Process Automation »-Secteur Financier (H/F),0.0,,0.0,0.0,0.0,0.0,,France Travail
Data Analyst QDD - H/F,0.0,,0.0,0.0,0.0,0.0,,France Travail
"Consultant Expérimenté & Manager en Data Engineering - Secteur Financier, H/F",0.0,,0.0,0.0,0.0,0.0,,France Travail
Consultant Expérimenté & Manager en « Data & Intelligent Process Automation »-Secteur Financier (H/F),0.0,,0.0,0.0,0.0,0.0,,France Travail
Data Analyst Expérimenté H/F,0.0,,0.0,0.0,0.0,0.0,,France Travail
REFERENT MASTER DATA MANAGEMENT (MDM) H/F,0.0,,0.0,0.0,0.0,0.0,,France Travail
Consultant.e Data Engineer Microsoft Fabric F/H - Valoway,0.0,,0.0,0.0,0.0,0.0,,France Travail
MODÉLISATEUR-TRICE ZOONOSES & MALADIES VECTORIELLES (H/F),0.0,,0.0,0.0,0.0,0.0,,France Travail
Data analyst (H/F),0.0,,0.0,0.0,0.0,0.0,,France Travail
Data  Analyst / Engineer (H/F),0.0,,0.0,0.0,0.0,0.0,,France Travail
Data Analyst Confirmé (H/F),0.0,,0.0,0.0,0.0,0.0,,France Travail
Data Analyst H/F,0.0,,0.0,0.0,0.0,0.0,,France Travail
Data Analyst Modélisation & Projection (H/F),0.0,,0.0,0.0,0.0,0.0,,France Travail
Data Analyst CRM & Expérience Client - H/F,0.0,,0.0,0.0,0.0,0.0,,France Travail
Data Analyst confirmé F/H - IONIS Group,0.0,,0.0,0.0,0.0,0.0,,France Travail
Data analyst (H/F),0.0,,0.0,0.0,0.0,0.0,,France Travail
Data analyst (H/F),0.0,,0.0,0.0,0.0,0.0,,France Travail
"Data Analyst F/H - Système, réseaux, données (H/F)",0.0,,0.0,0.0,0.0,0.0,,France Travail
DATA ANALYST SENIOR LOOKER (H/F),0.0,,0.0,0.0,0.0,0.0,,France Travail
Data Analyst Business H/F,0.0,,0.0,0.0,0.0,0.0,,France Travail
Consultant·e Power BI - Data Analyst F/H (H/F),0.0,,0.0,0.0,0.0,0.0,,France Travail
Data analyst (H/F),0.0,,0.0,0.0,0.0,0.0,,France Travail
Analyste data (H/F),0.0,,0.0,0.0,0.0,0.0,,France Travail
Data Analyste énergie (H/F),0.0,,0.0,0.0,0.0,0.0,,France Travail
DATA ENGINEER H/F,0.0,,0.0,0.0,0.0,0.0,,France Travail
Concepteur Développeur Big Data (H/F),0.0,,0.0,0.0,0.0,0.0,,France Travail
Data Business Manager – Extension School / Data Office F/H - ESCP Business School,0.0,,0.0,0.0,0.0,0.0,,France Travail
Data Engineer (H/F),0.0,,0.0,0.0,0.0,0.0,,France Travail
Data Engineer (H/F),0.0,,0.0,0.0,0.0,0.0,,France Travail
Data Engineer IA H/F (H/F),0.0,,0.0,0.0,0.0,0.0,Île-de-France,France Travail
Data Engineer Senior - H/F,0.0,,0.0,0.0,0.0,0.0,,France Travail
Lead Data Engineer Senior (H/F),0.0,,0.0,0.0,0.0,0.0,,France Travail
Data Engineer PySpark - Data Factory - Services Financiers - Ile de France (H/F),0.0,,0.0,0.0,0.0,0.0,,France Travail
Lead Data Engineer - HealthTech / IA (H/F),0.0,,0.0,0.0,0.0,0.0,,France Travail
Lead Data Engineer Senior (H/F),0.0,,0.0,0.0,0.0,0.0,,France Travail
Lead Data Engineer - HealthTech / IA (H/F),0.0,,0.0,0.0,0.0,0.0,,France Travail
Data Engineer PySpark - Data Factory - Services Financiers - Ile de France (H/F),0.0,,0.0,0.0,0.0,0.0,,France Travail
Data Engineer PySpark - Data Factory - Services Financiers - Ile de France (H/F),0.0,,0.0,0.0,0.0,0.0,,France Travail
Data Engineer - Sénior (H/F),0.0,,0.0,0.0,0.0,0.0,,France Travail
Lead Data Engineer F/H (CDI) (H/F),0.0,,0.0,0.0,0.0,0.0,,France Travail
Senior Data Engineer H/F (CDI),0.0,,0.0,0.0,0.0,0.0,,France Travail
Data Engineer - Sénior (H/F),0.0,,0.0,0.0,0.0,0.0,,France Travail
Data Engineer - Paris - Formation en alternance à distance   Alternance / Apprentissage (H/F),0.0,,0.0,0.0,0.0,0.0,,France Travail
Data Engineer - Services Financiers F/H (CDI) (H/F),0.0,,0.0,0.0,0.0,0.0,,France Travail
Senior Data Engineer H/F,0.0,,0.0,0.0,0.0,0.0,,France Travail
Data engineer dbt f/h (CDI) (H/F),0.0,,0.0,0.0,0.0,0.0,,France Travail
Data Engineer GCP BigQuery F/H (H/F),0.0,,0.0,0.0,0.0,0.0,,France Travail
Data Engineer Looker/LookML F/H (H/F),0.0,,0.0,0.0,0.0,0.0,,France Travail
Data Engineer DataIku - Services Financiers – Ile-de-France (H/F),0.0,,0.0,0.0,0.0,0.0,,France Travail
Data Engineer GCP BigQuery F/H,0.0,,0.0,0.0,0.0,0.0,,France Travail
Data Engineer Looker/LookML F/H,0.0,,0.0,0.0,0.0,0.0,,France Travail
Data Engineer PySpark - Data Factory - Services Financiers - Ile de France (H/F),0.0,,0.0,0.0,0.0,0.0,,France Travail
Data Engineer PySpark - Data Factory - Services Financiers - Ile de France (H/F),0.0,,0.0,0.0,0.0,0.0,,France Travail
Data Engineer Looker/LookML (H/F),0.0,,0.0,0.0,0.0,0.0,,France Travail
Data Engineer GCP BigQuery (H/F),0.0,,0.0,0.0,0.0,0.0,,France Travail
Data Engineer DataIku - Services Financiers – Ile-de-France (H/F),0.0,,0.0,0.0,0.0,0.0,,France Travail
Lead Data Engineer H/F,0.0,,0.0,0.0,0.0,0.0,,France Travail
Data Engineer GCP / Airflow / dbt (H/F),0.0,,0.0,0.0,0.0,0.0,,France Travail
Data Engineer DataIku - Services Financiers Ile-de-France (H/F),0.0,,0.0,0.0,0.0,0.0,,France Travail
INGENIEUR DATA BI EXPERIMENTE (H/F),0.0,,0.0,0.0,0.0,0.0,,France Travail
Data & Cloud Technical Project Manager (H/F),0.0,,0.0,0.0,0.0,0.0,,France Travail
Data Développeur / Analyste (H/F),0.0,,0.0,0.0,0.0,0.0,,France Travail
Data Quality Manager (H/F),0.0,,0.0,0.0,0.0,0.0,,France Travail
Data Quality Manager H/F,0.0,,0.0,0.0,0.0,0.0,,France Travail
Concepteur Développeur Big Data (H/F),0.0,,0.0,0.0,0.0,0.0,,France Travail
Développeur / Développeuse data (H/F),0.0,,0.0,0.0,0.0,0.0,,France Travail
Data Quality Manager F/H - Qualité (H/F),0.0,,0.0,0.0,0.0,0.0,,France Travail
Data quality manager H/F,0.0,,0.0,0.0,0.0,0.0,,France Travail
Consultant.e Data - Digital Customer (H/F),0.0,,0.0,0.0,0.0,0.0,,France Travail
Développeur Big Data (H/F),0.0,,0.0,0.0,0.0,0.0,,France Travail
Nous recherchons plusieurs DBA Oracle / SQL Server (H/F),0.0,,0.0,0.0,0.0,0.0,,France Travail
Consultant(e) Machine Learning Engineer - F/H (CDI) (H/F),0.0,,0.0,0.0,0.0,0.0,,France Travail
IA Engineer (F/H) (H/F),0.0,,0.0,0.0,0.0,0.0,,France Travail
ML/AI Engineer (H/F),0.0,,0.0,0.0,0.0,0.0,,France Travail
Operator Machine Learning (H/F),0.0,,0.0,0.0,0.0,0.0,,France Travail
"POST-DOCTORANT(E) CENTRE DE RESSOURCES COMPUTATIONNELLES BIBLISSIMA+, CLUSTER 7 (H/F)",0.0,,0.0,0.0,0.0,0.0,,France Travail
Expert(e) oracle hcm hr f/h (CDI) (H/F),0.0,,0.0,0.0,0.0,0.0,,France Travail
Consultant senior Gouvernance IA F/H - Digital4Better,0.0,,0.0,0.0,0.0,0.0,,France Travail
Consultant Expert sur les Systèmes d'IA-ASAP (H/F),0.0,,0.0,0.0,0.0,0.0,,France Travail
Directeur·trice Senior de Projets IA –Transformation Digitale-H/F,0.0,,0.0,0.0,0.0,0.0,,France Travail
Technical Business Analyst - Python / FinTech (H/F),0.0,,0.0,0.0,0.0,0.0,,France Travail
Consultant Décisionnel BI F/H - Paris (H/F),0.0,,0.0,0.0,0.0,0.0,,France Travail
"CHEF DE SECTION « RÉCOLEMENT, ANALYSE DES DONNÉES D'ACTIVITÉ DES SERVICES ET CONTRÔLE DE GESTION  (H/F)",0.0,,0.0,0.0,0.0,0.0,,France Travail
CHARGE(E) D'ANALYSE DES DONNEES DE PILOTAGE (H/F),0.0,,0.0,0.0,0.0,0.0,,France Travail
Chef de projet Big Data (H/F),0.0,,0.0,0.0,0.0,0.0,,France Travail
Analystes data science et statistiques - h/f (CDI),0.0,,0.0,0.0,0.0,0.0,,France Travail
CHIEF DATA OFFICER CDI (H/F),0.0,,0.0,0.0,0.0,0.0,,France Travail
Chief Data Officer H/F,0.0,,0.0,0.0,0.0,0.0,,France Travail
Chief Data Officer (H/F),0.0,,0.0,0.0,0.0,0.0,,France Travail
Responsable d’agence IA & Data - H/F,0.0,,0.0,0.0,0.0,0.0,,France Travail
Responsable Practice Data / IA (Paris) - H/F,0.0,,0.0,0.0,0.0,0.0,,France Travail
Lead Tech Django H/F @IA & Data,0.0,,0.0,0.0,0.0,0.0,,France Travail
Software engineer - Sénior - Python (H/F),0.0,,0.0,0.0,0.0,0.0,,France Travail
Paramétreur / Paramétreuse logiciel ERP h/f,0.0,,0.0,0.0,0.0,0.0,,France Travail
Concepteur éditique/CCM (H/F),0.0,,0.0,0.0,0.0,0.0,,France Travail
Expert Linux et Scripting Shell (H/F),0.0,,0.0,0.0,0.0,0.0,,France Travail
Expert Linux et Scripting Shell (H/F),0.0,,0.0,0.0,0.0,0.0,,France Travail
Lead Testeur (H/F),0.0,,0.0,0.0,0.0,0.0,,France Travail
Architecte et Techlead Salesforce (H/F),0.0,,0.0,0.0,0.0,0.0,,France Travail
Tech Lead Python / IA (H/F),0.0,,0.0,0.0,0.0,0.0,,France Travail
Senior Developer : JS Typescript Node.JS (H/F),0.0,,0.0,0.0,0.0,0.0,,France Travail
Technicien informatique EDI F/H,0.0,,0.0,0.0,0.0,0.0,,France Travail
RESPONSABLE APPLICATIF SI - DOMAINES RISQUES ET CONFORMITE H/F,0.0,,0.0,0.0,0.0,0.0,,France Travail
Dirigeant / Dirigeante de grande entreprise du secteur marchand ou d'établissement public h/f,0.0,,0.0,0.0,0.0,0.0,,France Travail
Auditeur / Auditrice de gestion d'entreprise (H/F),0.0,,0.0,0.0,0.0,0.0,,France Travail
Chef de projet maîtrise d'ouvrage des systèmes d'information h/f,0.0,,0.0,0.0,0.0,0.0,,France Travail
Designer-chef / Designeuse-chef de projet h/f,0.0,,0.0,0.0,0.0,0.0,,France Travail
Expert / Experte en cybersécurité h/f,0.0,,0.0,0.0,0.0,0.0,,France Travail
Analyste data (H/F),0.0,,0.0,0.0,0.0,0.0,,France Travail
Analyste data (H/F),0.0,,0.0,0.0,0.0,0.0,,France Travail
Analyste data (H/F),0.0,,0.0,0.0,0.0,0.0,,France Travail
Data engineer f/h,0.0,,0.0,0.0,0.0,0.0,,France Travail
Analyste Statistique F/H (H/F),0.0,,0.0,0.0,0.0,0.0,,France Travail
Data product owner customer support center h/f f/h,0.0,,0.0,0.0,0.0,0.0,,France Travail
Planificateur projet (H/F),0.0,,0.0,0.0,0.0,0.0,,France Travail
Data scientist f/h,0.0,,0.0,0.0,0.0,0.0,,France Travail
Data Scientist IA Deep Learning H/F (CDI),0.0,,0.0,0.0,0.0,0.0,,France Travail
Business data analyst F/H - Référentiels Clients (H/F),0.0,,0.0,0.0,0.0,0.0,,France Travail
Data analyst douane expert (H/F),0.0,,0.0,0.0,0.0,0.0,,France Travail
Data analyst (H/F),0.0,,0.0,0.0,0.0,0.0,,France Travail
Analyste data (H/F),0.0,,0.0,0.0,0.0,0.0,,France Travail
Analyste data (H/F),0.0,,0.0,0.0,0.0,0.0,,France Travail
Analyste data (H/F),0.0,,0.0,0.0,0.0,0.0,,France Travail
Analyste data (H/F),0.0,,0.0,0.0,0.0,0.0,,France Travail
Analyste data (H/F),0.0,,0.0,0.0,0.0,0.0,,France Travail
Analyste Data Expérience Client (H/F),0.0,,0.0,0.0,0.0,0.0,,France Travail
Data engineer gcp (h/f) (CDI),0.0,,0.0,0.0,0.0,0.0,,France Travail
Ingénieur Big Data (H/F),0.0,,0.0,0.0,0.0,0.0,,France Travail
Ingénieur de recherche : Assimilation de données (H/F),0.0,,0.0,0.0,0.0,0.0,,France Travail
IA/Machine Learning Engineer H/F (H/F),0.0,,0.0,0.0,0.0,0.0,,France Travail
Consultant IA (H/F) (CDI),0.0,,0.0,0.0,0.0,0.0,,France Travail
Human resources business partner (hrbp (H/F),0.0,,0.0,0.0,0.0,0.0,,France Travail
Analyste SIRH / Qualité des données (H/F),0.0,,0.0,0.0,0.0,0.0,,France Travail
Ingénieur.e en analyse de données satellitaires pour bilan énergétique climatique (H/F),0.0,,0.0,0.0,0.0,0.0,,France Travail
Data governance manager f/h,0.0,,0.0,0.0,0.0,0.0,,France Travail
"Responsable de site DATA CENTER F/H - Maintenance, sécurité (H/F)",0.0,,0.0,0.0,0.0,0.0,,France Travail
Responsable commissioning Data Center (H/F),0.0,,0.0,0.0,0.0,0.0,,France Travail
Architecte Data Expérimenté H/F,0.0,,0.0,0.0,0.0,0.0,,France Travail
Ingénieur Data Visualisation / QlikSense confirmé( H/F (CDI),0.0,,0.0,0.0,0.0,0.0,,France Travail
Technicien logiciel informatique (H/F),0.0,,0.0,0.0,0.0,0.0,,France Travail
Chef de Projets IA / Banque (H/F),0.0,,0.0,0.0,0.0,0.0,,France Travail
Responsable fraude et authentification - Paiement (H/F),0.0,,0.0,0.0,0.0,0.0,,France Travail
DATA SCIENTIST SPÉCIALISÉ BIBLIOMÉTRIE H/F,0.0,,0.0,0.0,0.0,0.0,,France Travail
Data Translation Manager - Finance et fonctions supports (F/H) (H/F),0.0,,0.0,0.0,0.0,0.0,,France Travail
AI Engineer H/F,0.0,,0.0,0.0,0.0,0.0,,France Travail
AI Engineer H/F,0.0,,0.0,0.0,0.0,0.0,,France Travail
Senior Python software Engineer (F/H) (H/F),0.0,,0.0,0.0,0.0,0.0,,France Travail
Lead AI Engineer (F/H) (H/F),0.0,,0.0,0.0,0.0,0.0,,France Travail
DIRECTEUR DE RECHERCHE (H/F),0.0,,0.0,0.0,0.0,0.0,,France Travail
Data analyst junior (F/H) - MASSY (H/F),0.0,,0.0,0.0,0.0,0.0,,France Travail
Data analyst junior (F/H) (H/F),0.0,,0.0,0.0,0.0,0.0,,France Travail
Analyste data (H/F),0.0,,0.0,0.0,0.0,0.0,,France Travail
Analyste data (H/F),0.0,,0.0,0.0,0.0,0.0,,France Travail
Analyste data (H/F),0.0,,0.0,0.0,0.0,0.0,,France Travail
Analyste data (H/F),0.0,,0.0,0.0,0.0,0.0,,France Travail
Analyste data (H/F),0.0,,0.0,0.0,0.0,0.0,,France Travail
Flight data engineer f/h,0.0,,0.0,0.0,0.0,0.0,,France Travail
"Data Engineer F/H - Système, réseaux, données (H/F)",0.0,,0.0,0.0,0.0,0.0,,France Travail
ARCHITECTE DATA / POWER BI & AZURE (H/F),0.0,,0.0,0.0,0.0,0.0,,France Travail
Knowledge Manager IA (H/F),0.0,,0.0,0.0,0.0,0.0,,France Travail
"Développeur full stack (c#, react) - analyse des données de vol f/h",0.0,,0.0,0.0,0.0,0.0,,France Travail
Directeur de travaux TCE Data F/H (H/F),0.0,,0.0,0.0,0.0,0.0,,France Travail
Responsable technique maintenance data center Lisses 91 F/H (H/F),0.0,,0.0,0.0,0.0,0.0,,France Travail
Responsable Logiciel Délégué - Powertrain (H/F) (CDI),0.0,,0.0,0.0,0.0,0.0,,France Travail
Alternance Développeur IA & Machine Learning - Évry-Courcouronnes (H/F),0.0,,0.0,0.0,0.0,0.0,,France Travail
Data scientist (H/F),0.0,,0.0,0.0,0.0,0.0,,France Travail
Data scientist (H/F),0.0,,0.0,0.0,0.0,0.0,,France Travail
Data scientist (H/F),0.0,,0.0,0.0,0.0,0.0,,France Travail
Lead Data Scientist GenAI H/F (CDI),0.0,,0.0,0.0,0.0,0.0,,France Travail
Lead Data Scientist RetD H/F (CDI),0.0,,0.0,0.0,0.0,0.0,,France Travail
Data scientist (H/F),0.0,,0.0,0.0,0.0,0.0,,France Travail
Data Scientist IA Senior H/F,0.0,,0.0,0.0,0.0,0.0,,France Travail
Data Product Owner (F/H) (H/F),0.0,,0.0,0.0,0.0,0.0,,France Travail
Consultant senior Power BI et Data Analytics - Neuilly (H/F),0.0,,0.0,0.0,0.0,0.0,,France Travail
Data Analyst Technique & Contrôles H/F,0.0,,0.0,0.0,0.0,0.0,,France Travail
Model Data Leader (H/F),0.0,,0.0,0.0,0.0,0.0,,France Travail
Expert Etudes et Marketing effectiveness F/H,0.0,,0.0,0.0,0.0,0.0,,France Travail
