mot_cle,count
data,918
engineer,344
analyst,266
ingénieur,113
consultant,89
analyste,79
scientist,69
projet,67
chef,65
données,61
business,58
manager,44
logiciel,44
architecte,43
responsable,41
développeur,39
services,37
confirmé,36
chargé,32
financiers,30
assistant,30
analyse,28
technicien,27
learning,26
architect,26
expérimenté,25
stagiaire,25
machine,22
internship,20
projets,19
développement,19
secteur,18
technique,18
intelligence,18
cloud,17
software,17
études,17
officer,16
engineering,15
tech,15
innovation,15
financier,14
gestion,14
chief,14
recherche,14
marketing,14
nantes,13
science,12
power,12
formation,12
python,12
product,12
center,12
performance,12
informatique,11
management,10
qualité,10
décisionnel,10
spark,10
formateur,10
applications,10
mois,10
freelance,10
pyspark,9
sénior,9
finance,9
dcoe,9
application,9
supply,9
chain,9
concepteur,8
factory,8
technical,8
directeur,8
owner,8
support,8
analytics,8
java,8
industriel,8
mlops,8
lille,8
administratif,8
intelligent,7
trice,7
digital,7
gouvernance,7
clients,7
react,7
snowflake,7
automation,6
distance,6
dataiku,6
ingenieur,6
développeuse,6
transformation,6
contrôle,6
paramétreur,6
applicatif,6
visualisation,6
azure,6
