titre,count
Analyste data (H/F),26
Data analyst (H/F),22
Data Engineer (H/F),18
Data Engineer H/F,13
Chief Data Officer (H/F),11
Data Analyst H/F,10
Data scientist (H/F),10
Data engineer (H/F),7
Développeur Big Data (H/F),7
DATA ENGINEER (H/F),6
Data Analyst (H/F),6
DATA Engineer senior - DCoE France (H/F),6
Data Architect (H/F),5
Data Engineer - Services Financiers - Nantes (H/F),5
Data Engineer PySpark - Data Factory - Services Financiers - Ile de France (H/F),5
Architecte Data (H/F),5
DATA ANALYST (H/F),4
Data engineer f/h,4
Data Engineer - Transport - Nantes (H/F),4
Data Engineer - H/F,4
Data Engineer F/H,3
Data Engineer PYSPARK H/F,3
Consultant Expérimenté & Manager en « Data & Intelligent Process Automation »-Secteur Financier (H/F),3
Senior Data Engineer H/F,3
Directeur.trice Data & AI Factory F/H,3
Lead Data Engineer Java / Spark - Paris (H/F),3
AI Engineer H/F,3
Ingénieur support data (H/F),3
Ingénieur Data - Innovation (H/F/X),3
Data Engineer confirmé (H/F),3
Data Engineer senior - Services Financiers - Lille (H/F),3
Consultant DATA / Gouvernance des données DCoE - France (H/F),3
Stage Data Analyst F/H,3
Consultant.e Data Engineer Microsoft Fabric F/H - Valoway,3
"Consultant Expérimenté & Manager en Data Engineering - Secteur Financier, H/F",3
Expert Linux et Scripting Shell (H/F),2
Data Analyst Modélisation & Projection (H/F),2
Data Engineer expérimenté (H/F),2
Expert TALEND-DATA Engineer (F/H) (H/F),2
Data Engineer Senior (H/F),2
DATA ENGINEER H/F,2
Concepteur Développeur Big Data (H/F),2
Ingénieur Data Sénior (H/F),2
Tech Lead Data Engineer GCP - Paris (H/F),2
Data Engineer Spark Scala - Services Financiers - Ile-De-France (H/F),2
Lead Data Engineer Senior (H/F),2
Lead Data Engineer - HealthTech / IA (H/F),2
Data Engineer - Sénior (H/F),2
Lead Data Engineer F/H (CDI) (H/F),2
Technical Data Engineer Senior (H/F),2
